designation,l,b,parallax,phot_g_mean_mag,distance,Absolute_Mag,SIMBAD_ID,Spectral_Type,X,Y,Z,star_name
,79.05496371,29.21733609,21.14,,47.30368969,,* gam Dra,K5III,7.838754343,40.53445889,23.0900548,Eltanin (Gamma Draconis)
Gaia DR2 6515008644030385792,341.6252604,-59.00947966,20.97,6.9989,47.68717215,,HD 216655,G3/6,23.30206511,-7.740156825,-40.87994767,HD 216655
,174.3383906,6.72933251,19.7,,50.76142132,,* tet Aur,A0VpSi,-50.16580159,4.973266847,5.948181441,Mahasim (Theta Aurigae)
,263.8325574,-41.41538337,19.34,,51.70630817,,* alf Dor,B8IIIpSi,-4.165908751,-38.55186147,-34.2044074,Alpha Doradus
Gaia DR2 4432032213656434176,17.12318,31.844887,18.84,6.4521,53.07855626,,* lam Oph B,A4V,43.0905281,13.27546268,28.00538544,Lambda Ophiuchi B
,346.2669211,-57.95405404,18.43,,54.25935974,,* bet Gru,M4.5III,27.96692894,-6.83471061,-45.9914746,Tiaki (Beta Gruis)
,340.9043247,-35.19310697,18.24,,54.8245614,,* alf Pav,B2IV,42.33804219,-14.6572828,-31.59725902,Peacock (Alpha Pavonis)
Gaia DR2 1407474737248225920,71.60659612,39.96025448,18.1,8.2889,55.24861878,,*  52 Her B,,13.36232858,40.18408669,35.48376009,52 Herculis B
,241.4881421,29.04545375,18.09,,55.27915976,,* alf Hya,K3IIIa,-23.06842461,-42.46579184,26.83821552,Alphard (Alpha Hydrae)
,295.5061894,-70.1981035,17.63,,56.72149745,,* bet Phe,G8III,8.274272972,-17.3428795,-53.36749207,Beta Phoenicis
Gaia DR2 6413081274731392256,339.1078139,-48.12271755,17.34,4.2507,57.67012687,,* del Ind,F0IV,35.96591026,-13.72842571,-42.93980857,Delta Indi
Gaia DR2 6913299245065236096,42.13394361,-29.17822656,17.21,7.1214,58.10575247,,*   4 Aqr B,F6:V:,37.62217959,34.0347551,-28.32817534,4 Aquarii
