designation,l,b,parallax,phot_g_mean_mag,SIMBAD_ID,Spectral_Type,distance,adjusted_mag,X,Y,Z,interim_ID,Absolute_Mag,star_name
Gaia DR3 3618109522784875008,323.106951211471,51.78443642069782,40.06728689667377,12.162378311157227,PM J13413-0907,M2.5V,24.958016313378486,7.589328447533994,12.347915015510882,-9.268734474978949,19.60923594383331,PM J13413-0907,,
Gaia DR3 1680479660494681728,125.38606684069302,51.5363642960192,40.068255008834754,12.81396770477295,PM J12366+6531,dM4.5,24.95741328838771,8.24103865048575,-8.98965768622637,12.656194110814486,19.54173184140155,PM J12366+6531,,
Gaia DR3 6166184667404110464,311.16851745115656,26.467218859061244,40.06928046540513,15.47252368927002,SIPS J1327-3549,,24.956774576058994,10.899722597062556,14.706570560164641,-16.817816958278062,11.122877881060191,SIPS J1327-3549,,
Gaia DR3 4932698441137787264,300.8381205757095,-68.66285135305803,40.06980499562125,12.82047176361084,PM J00560-4826,,24.956447881622534,8.247736123886785,4.654811119746448,-7.796719388615671,-23.24582093802693,PM J00560-4826,,
Gaia DR3 6523442177388623488,332.09871184432956,-64.0677171330565,40.0767619832073,11.021905899047852,BPM 45048,M3.5,24.952115652931578,6.450038292461803,9.643335994628664,-5.106161171886738,-22.43972514400942,BPM 45048,,
Gaia DR3 577355999582711040,227.24730012265778,30.577899544815853,40.07710685387054,12.138884544372559,LP  546-50,M3V,24.95190093551932,7.567059963864758,-14.58277318014361,-15.774063883971053,12.693265744356498,LP 546-50,,
Gaia DR3 5640566707163003648,252.2022492580864,4.962814993280034,40.07741302512462,20.55168342590332,,,24.95171031556098,15.97989704302362,-7.598095997127953,-23.6684903770175,2.1585523304127987,,,
Gaia DR3 2317773298786508416,338.6121592891604,-85.75337299822395,40.07745357695881,13.34948444366455,G 267-149,sdM3,24.95168506850736,8.777703119970386,1.7204239911004222,-0.6738056427020139,-24.88318136823911,G 267-149,,
Gaia DR3 2756665286526260864,92.54935473170907,-52.10594001624097,40.07779161942814,15.208487510681152,LP  583-21,M7V,24.951474609575026,10.6367483604553,-0.6816677592460837,15.310112514752221,-19.69040042873428,LP 583-21,,
Gaia DR3 287767756635519488,148.60119329701067,17.364241547990552,40.07864513302561,19.34526824951172,Gaia DR3 287767756635519488,,24.950943243737047,14.773635580266319,-20.326587594278728,12.406820991517485,7.446488998765972,Gaia DR3 287767756635519488,,
Gaia DR3 2586051833860608128,139.63516081507257,-49.34680255108908,40.08050042800893,19.231477737426758,2MASSW J0135358+120522,L1.5V,24.949788284109925,14.660076519623445,-12.384704610688718,10.527111589554513,-18.928574925465508,2MASSW J0135358+120522,,
